home_team,away_team,tournament,neutral,away_score,Away Model,Home model
Scotland,England,Friendly,FALSE,0.0,1.638671875,1.063720703125
England,Scotland,Friendly,FALSE,2.0,0.970703125,1.953857421875
Scotland,England,Friendly,FALSE,1.0,1.638671875,1.063720703125
England,Scotland,Friendly,FALSE,2.0,0.970703125,1.953857421875
Scotland,England,Friendly,FALSE,0.0,1.638671875,1.063720703125
Scotland,Wales,Friendly,FALSE,0.0,0.615234375,1.73095703125
England,Scotland,Friendly,FALSE,3.0,0.970703125,1.953857421875
Wales,Scotland,Friendly,FALSE,2.0,1.373046875,0.95947265625
Scotland,England,Friendly,FALSE,2.0,1.638671875,1.063720703125
Scotland,Wales,Friendly,FALSE,0.0,0.615234375,1.73095703125
England,Wales,Friendly,FALSE,1.0,0.53125,2.275146484375
England,Scotland,Friendly,FALSE,4.0,0.970703125,1.953857421875
Wales,Scotland,Friendly,FALSE,3.0,1.373046875,0.95947265625
Scotland,England,Friendly,FALSE,4.0,1.638671875,1.063720703125
Wales,England,Friendly,FALSE,3.0,1.95703125,0.613525390625
Scotland,Wales,Friendly,FALSE,1.0,0.615234375,1.73095703125
England,Wales,Friendly,FALSE,1.0,0.53125,2.275146484375
England,Scotland,Friendly,FALSE,6.0,0.970703125,1.953857421875
Wales,Scotland,Friendly,FALSE,5.0,1.373046875,0.95947265625
Northern Ireland,England,Friendly,FALSE,13.0,2.24609375,0.453857421875
Wales,Northern Ireland,Friendly,FALSE,1.0,0.705078125,1.51611328125
Scotland,England,Friendly,FALSE,1.0,1.638671875,1.063720703125
Wales,England,Friendly,FALSE,3.0,1.95703125,0.613525390625
Scotland,Wales,Friendly,FALSE,0.0,0.615234375,1.73095703125
England,Wales,Friendly,FALSE,0.0,0.53125,2.275146484375
England,Northern Ireland,Friendly,FALSE,0.0,0.302734375,2.510498046875
England,Scotland,Friendly,FALSE,3.0,0.970703125,1.953857421875
Wales,Scotland,Friendly,FALSE,3.0,1.373046875,0.95947265625
Northern Ireland,Wales,Friendly,FALSE,1.0,1.22265625,1.12109375
Northern Ireland,Scotland,British Championship,FALSE,5.0,2.111328125,1.33349609375
Wales,Northern Ireland,British Championship,FALSE,0.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,8.0,2.697265625,0.987548828125
Scotland,England,British Championship,FALSE,0.0,2.087890625,1.597412109375
Wales,England,British Championship,FALSE,4.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
Scotland,Northern Ireland,British Championship,FALSE,2.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,1.0,1.419921875,2.487548828125
Wales,Scotland,British Championship,FALSE,8.0,1.822265625,1.4931640625
Northern Ireland,Wales,British Championship,FALSE,8.0,1.671875,1.65478515625
United States,Canada,Friendly,FALSE,1.0,0.755859375,1.875244140625
Wales,Northern Ireland,British Championship,FALSE,0.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,6.0,2.697265625,0.987548828125
Northern Ireland,Scotland,British Championship,FALSE,7.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Wales,England,British Championship,FALSE,3.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
United States,Canada,Friendly,FALSE,2.0,0.755859375,1.875244140625
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Northern Ireland,Wales,British Championship,FALSE,1.0,1.671875,1.65478515625
England,Scotland,British Championship,FALSE,3.0,1.419921875,2.487548828125
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
Wales,Northern Ireland,British Championship,FALSE,0.0,1.154296875,2.0498046875
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
Scotland,England,British Championship,FALSE,5.0,2.087890625,1.597412109375
Northern Ireland,Scotland,British Championship,FALSE,10.0,2.111328125,1.33349609375
Northern Ireland,England,British Championship,FALSE,5.0,2.697265625,0.987548828125
Scotland,Canada,Friendly,FALSE,0.0,0.26953125,2.26904296875
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
England,Northern Ireland,British Championship,FALSE,1.0,0.751953125,3.044189453125
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,3.0,1.419921875,2.487548828125
Wales,Scotland,British Championship,FALSE,0.0,1.822265625,1.4931640625
Northern Ireland,Wales,British Championship,FALSE,3.0,1.671875,1.65478515625
Wales,Northern Ireland,British Championship,TRUE,2.0,1.494140625,1.82958984375
Northern Ireland,England,British Championship,FALSE,9.0,2.697265625,0.987548828125
Wales,England,British Championship,FALSE,3.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,0.0,1.064453125,2.2646484375
Northern Ireland,Scotland,British Championship,FALSE,4.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Northern Ireland,Wales,British Championship,FALSE,2.0,1.671875,1.65478515625
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
England,Northern Ireland,British Championship,FALSE,1.0,0.751953125,3.044189453125
Wales,Scotland,British Championship,FALSE,4.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,1.0,1.419921875,2.487548828125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,2.0,2.697265625,0.987548828125
Wales,England,British Championship,FALSE,2.0,2.408203125,1.147216796875
Northern Ireland,Scotland,British Championship,FALSE,3.0,2.111328125,1.33349609375
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
Scotland,England,British Championship,FALSE,4.0,2.087890625,1.597412109375
England,Northern Ireland,British Championship,FALSE,1.0,0.751953125,3.044189453125
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Wales,Scotland,British Championship,FALSE,8.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,2.0,1.419921875,2.487548828125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,2.0,2.697265625,0.987548828125
Wales,England,British Championship,FALSE,5.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,2.0,1.064453125,2.2646484375
Northern Ireland,Scotland,British Championship,FALSE,2.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,2.0,2.087890625,1.597412109375
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Northern Ireland,Wales,British Championship,FALSE,2.0,1.671875,1.65478515625
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,0.0,1.419921875,2.487548828125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,2.0,2.697265625,0.987548828125
Wales,England,British Championship,FALSE,9.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,0.0,1.064453125,2.2646484375
Northern Ireland,Scotland,British Championship,FALSE,3.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Northern Ireland,Wales,British Championship,FALSE,3.0,1.671875,1.65478515625
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
England,Scotland,British Championship,FALSE,2.0,1.419921875,2.487548828125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Northern Ireland,England,British Championship,FALSE,3.0,2.697265625,0.987548828125
Scotland,Wales,British Championship,FALSE,2.0,1.064453125,2.2646484375
Northern Ireland,Scotland,British Championship,FALSE,3.0,2.111328125,1.33349609375
Wales,England,British Championship,FALSE,3.0,2.408203125,1.147216796875
Scotland,England,British Championship,FALSE,3.0,2.087890625,1.597412109375
England,Northern Ireland,British Championship,FALSE,2.0,0.751953125,3.044189453125
Northern Ireland,Wales,British Championship,FALSE,0.0,1.671875,1.65478515625
Wales,Scotland,British Championship,FALSE,6.0,1.822265625,1.4931640625
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Scotland,Northern Ireland,British Championship,FALSE,1.0,0.8359375,2.5
England,Scotland,British Championship,FALSE,1.0,1.419921875,2.487548828125
Scotland,Wales,British Championship,FALSE,2.0,1.064453125,2.2646484375
Wales,Northern Ireland,British Championship,FALSE,0.0,1.154296875,2.0498046875
Northern Ireland,Scotland,British Championship,FALSE,3.0,2.111328125,1.33349609375
Northern Ireland,England,British Championship,FALSE,2.0,2.697265625,0.987548828125
Wales,England,British Championship,FALSE,1.0,2.408203125,1.147216796875
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
Wales,Scotland,British Championship,FALSE,1.0,1.822265625,1.4931640625
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Northern Ireland,Wales,British Championship,FALSE,1.0,1.671875,1.65478515625
England,Scotland,British Championship,FALSE,2.0,1.419921875,2.487548828125
Wales,Northern Ireland,British Championship,FALSE,3.0,1.154296875,2.0498046875
Northern Ireland,Scotland,British Championship,FALSE,5.0,2.111328125,1.33349609375
Wales,England,British Championship,FALSE,0.0,2.408203125,1.147216796875
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
Northern Ireland,England,British Championship,FALSE,1.0,2.697265625,0.987548828125
England,Scotland,British Championship,FALSE,2.0,1.419921875,2.487548828125
Uruguay,Argentina,Friendly,FALSE,6.0,1.193359375,1.238525390625
Austria,Hungary,Friendly,FALSE,0.0,1.69921875,1.96630859375
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
Wales,Scotland,British Championship,FALSE,1.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,2.0,0.8359375,2.5
Northern Ireland,Wales,British Championship,FALSE,0.0,1.671875,1.65478515625
England,Scotland,British Championship,FALSE,2.0,1.419921875,2.487548828125
Hungary,Czechoslovakia,Friendly,FALSE,1.0,1.404296875,1.81005859375
Hungary,Austria,Friendly,FALSE,2.0,1.490234375,2.23681640625
Argentina,Uruguay,Friendly,FALSE,3.0,0.88671875,1.967041015625
Austria,Hungary,Friendly,FALSE,2.0,1.69921875,1.96630859375
Wales,England,British Championship,FALSE,2.0,2.408203125,1.147216796875
Northern Ireland,England,British Championship,FALSE,3.0,2.697265625,0.987548828125
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
Northern Ireland,Scotland,British Championship,FALSE,1.0,2.111328125,1.33349609375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Belgium,France,Friendly,FALSE,3.0,1.560546875,1.92138671875
Hungary,Austria,Friendly,FALSE,0.0,1.490234375,2.23681640625
Austria,Hungary,Friendly,FALSE,4.0,1.69921875,1.96630859375
France,Switzerland,Friendly,FALSE,0.0,1.013671875,2.23291015625
England,Northern Ireland,British Championship,FALSE,1.0,0.751953125,3.044189453125
Wales,Scotland,British Championship,FALSE,1.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
England,Scotland,British Championship,FALSE,0.0,1.419921875,2.487548828125
Northern Ireland,Wales,British Championship,FALSE,2.0,1.671875,1.65478515625
Hungary,Austria,Friendly,FALSE,0.0,1.490234375,2.23681640625
Belgium,Netherlands,Friendly,FALSE,4.0,1.751953125,1.81787109375
Belgium,France,Friendly,FALSE,0.0,1.560546875,1.92138671875
Netherlands,Belgium,Friendly,FALSE,0.0,1.29296875,2.353271484375
Argentina,Uruguay,Copa Lipton,FALSE,0.0,0.763671875,1.841064453125
Northern Ireland,England,British Championship,FALSE,5.0,2.697265625,0.987548828125
Scotland,Wales,British Championship,FALSE,2.0,1.064453125,2.2646484375
Northern Ireland,Scotland,British Championship,FALSE,1.0,2.111328125,1.33349609375
Wales,England,British Championship,FALSE,1.0,2.408203125,1.147216796875
Hungary,Czechoslovakia,Friendly,FALSE,1.0,1.404296875,1.81005859375
Wales,Northern Ireland,British Championship,FALSE,4.0,1.154296875,2.0498046875
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
France,Belgium,Friendly,FALSE,5.0,1.298828125,2.135009765625
Belgium,Netherlands,Friendly,FALSE,0.0,1.751953125,1.81787109375
Netherlands,Belgium,Friendly,FALSE,3.0,1.29296875,2.353271484375
Uruguay,Argentina,Copa Lipton,FALSE,2.0,1.0703125,1.112548828125
Czechoslovakia,Hungary,Friendly,FALSE,4.0,1.478515625,2.40673828125
Argentina,Uruguay,Copa Newton,FALSE,1.0,1.140625,2.23486328125
Hungary,Austria,Friendly,FALSE,1.0,1.490234375,2.23681640625
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Northern Ireland,Wales,British Championship,FALSE,3.0,1.671875,1.65478515625
Wales,Scotland,British Championship,FALSE,0.0,1.822265625,1.4931640625
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
England,Wales,British Championship,FALSE,1.0,0.98046875,2.808837890625
England,Scotland,British Championship,FALSE,1.0,1.419921875,2.487548828125
Hungary,Czechoslovakia,Friendly,FALSE,2.0,1.404296875,1.81005859375
Belgium,Netherlands,Friendly,FALSE,3.0,1.751953125,1.81787109375
Belgium,France,Friendly,FALSE,2.0,1.560546875,1.92138671875
Austria,Hungary,Friendly,FALSE,1.0,1.69921875,1.96630859375
Netherlands,Belgium,Friendly,FALSE,2.0,1.29296875,2.353271484375
Czechoslovakia,Hungary,Friendly,FALSE,3.0,1.478515625,2.40673828125
Hungary,Austria,Friendly,FALSE,1.0,1.490234375,2.23681640625
Northern Ireland,England,British Championship,FALSE,3.0,2.697265625,0.987548828125
Scotland,Wales,British Championship,FALSE,1.0,1.064453125,2.2646484375
Switzerland,France,Friendly,FALSE,2.0,1.611328125,1.572998046875
Northern Ireland,Scotland,British Championship,FALSE,5.0,2.111328125,1.33349609375
Wales,England,British Championship,FALSE,7.0,2.408203125,1.147216796875
Belgium,Netherlands,Friendly,FALSE,4.0,1.751953125,1.81787109375
Scotland,England,British Championship,FALSE,1.0,2.087890625,1.597412109375
Hungary,Czechoslovakia,Friendly,FALSE,2.0,1.404296875,1.81005859375
Switzerland,Germany,Friendly,FALSE,3.0,2.07421875,1.348876953125
Wales,Northern Ireland,British Championship,FALSE,1.0,1.154296875,2.0498046875
France,Belgium,Friendly,FALSE,2.0,1.298828125,2.135009765625
Netherlands,Belgium,Friendly,FALSE,1.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,0.0,1.69921875,1.96630859375
Netherlands,France,Friendly,FALSE,1.0,1.31640625,2.158935546875
Austria,England,Friendly,FALSE,6.0,1.953125,1.316162109375
Austria,Germany,Friendly,FALSE,2.0,1.953125,1.615478515625
Austria,England,Friendly,FALSE,11.0,1.953125,1.316162109375
Hungary,England,Friendly,FALSE,7.0,1.927734375,1.5927734375
Czechoslovakia,England,Friendly,FALSE,4.0,1.734375,1.756591796875
Sweden,Norway,Friendly,FALSE,3.0,1.107421875,2.475341796875
Uruguay,Argentina,Copa Lipton,FALSE,2.0,1.0703125,1.112548828125
Argentina,Uruguay,Copa Newton,FALSE,1.0,1.140625,2.23486328125
Argentina,Uruguay,Copa Premio Honor Argentino,FALSE,1.0,1.083984375,1.745849609375
Netherlands,Sweden,Friendly,FALSE,3.0,1.287109375,2.09716796875
Belgium,Sweden,Friendly,FALSE,1.0,1.53125,1.859619140625
Hungary,Austria,Friendly,FALSE,3.0,1.490234375,2.23681640625
England,Northern Ireland,British Championship,FALSE,0.0,0.751953125,3.044189453125
Wales,Scotland,British Championship,FALSE,2.0,1.822265625,1.4931640625
England,Wales,British Championship,FALSE,0.0,0.98046875,2.808837890625
Scotland,Northern Ireland,British Championship,FALSE,0.0,0.8359375,2.5
Northern Ireland,Wales,British Championship,FALSE,3.0,1.671875,1.65478515625
Belgium,Netherlands,Friendly,FALSE,4.0,1.751953125,1.81787109375
England,Scotland,British Championship,FALSE,0.0,1.419921875,2.487548828125
Germany,Switzerland,Friendly,FALSE,0.0,0.984375,2.69091796875
Hungary,Germany,Friendly,FALSE,3.0,1.927734375,1.89208984375
Netherlands,Belgium,Friendly,FALSE,1.0,1.29296875,2.353271484375
Austria,Hungary,Friendly,FALSE,4.0,1.69921875,1.96630859375
Belgium,France,Friendly,FALSE,2.0,1.560546875,1.92138671875
Hungary,England,Friendly,FALSE,4.0,1.927734375,1.5927734375
Hungary,Austria,Friendly,FALSE,1.0,1.490234375,2.23681640625
Hungary,England,Friendly,FALSE,8.0,1.927734375,1.5927734375
Austria,England,Friendly,FALSE,8.0,1.953125,1.316162109375
